track_id,track_name,artist_name,album_name
3tH7q10DdS5iZSOfCXrXj4,Adventure Time but is it okay if it's lofi?,Kijugo,Adventure Time but is it okay if it's lofi?

4LYvFYViMMHhLfY9o22c5a,Prayer X but is it okay if it's lofi?,Kijugo,Prayer X but is it okay if it's lofi?

2wSmbmiW7xpnw4LM6acaeC,heroes but it's lofi (my hero academia),kurochuu.,heroes but it's lofi (my hero academia)

0vNzW1TElUxBiWRAX7JYue,Again (Your Lie in April),Kayou. Beats,Anime Lofi Beats

0eTQEpSLPnZhuahEuf1IE1,Demon Slayer (Rengoku Theme),A Samurai In Tokyo,Demon Slayer Lofi

3yw3uiwUjoGuX5j0wuejMt,Demon Slayer (Zenitsu Theme),A Samurai In Tokyo,Demon Slayer Lofi

0rO5gkz3VEUshextBEDQhd,Kaikai Kitan - Jujutsu Kaisen Lofi,A Samurai In Tokyo,Anime & Chill Lofi

6wPxsT2ten3eGhp0YnknCk,Demon Slayer (Akaza Theme),A Samurai In Tokyo,Demon Slayer Lofi

4GSmnzhD68LZCNEq229PEP,The Beginning - Jujutsu Kaisen Lofi,A Samurai In Tokyo,Jujustu Kaisen Lofi

2roR5fXHnPua6iQBhzV7cJ,Put It In This Fist - Jujutsu Kaisen Lofi,A Samurai In Tokyo,Jujustu Kaisen Lofi

4zMUXAHWzYo444Akpyyjkk,Beyond Sacrifice - Jujutsu Kaisen Lofi,A Samurai In Tokyo,Jujustu Kaisen Lofi

1PU1Zf3VJOy71JVQVzDSAi,Mitsuri Kanroji - Demon Slayer Lofi,A Samurai In Tokyo,Demon Slayer Lofi 3

0NRsqUk9WmZv0STMdngnz9,Muichiro Tokito - Demon Slayer Lofi,A Samurai In Tokyo,Demon Slayer Lofi 3

27mkGIMrWlnwFOmaYuF01g,Gurenge - Chill Lofi Ver.,A V I A N D,Gurenge (Chill Lofi Ver.)

1UmSXM9l5MVLOfEbeE67p8,Departure but is it okay if it's lofi?,Kijugo,Departure but is it okay if it's lofi?

7HXQv0vJfVJvMxyOEU0ePr,Blue Bird but is it okay if it's lofi?,Kijugo,Blue Bird but is it okay if it's lofi?

